🇨🇳中央电视,#genre#
CCTV-1,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://39.135.133.167/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV-5,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://39.135.133.160/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://39.135.133.137/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://39.135.133.166/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://39.135.133.160/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 ,http://39.135.133.155/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://39.135.133.160/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://39.135.133.139/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
CCTV女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
CCTV兵器科技,http://111.61.236.247:9081/hls/61/index.m3u8
CCTV世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
CCTV怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
--------------------------------------------------------------------------------------------------

🇨🇳地方卫视,#genre#
云南卫视,http://www.8239999.xyz:8188/udp/239.93.19.174:5140
美丽云南,https://www.ynbit.com:1937/cyds-mlyn/livestream/playlist.m3u8?zyund
湖南卫视,http://www.8239999.xyz:8188/udp/239.93.18.88:5140
江苏卫视,http://www.8239999.xyz:8188/udp/239.93.18.89:5140
浙江卫视,http://www.8239999.xyz:8188/udp/239.93.18.124:5140
四川卫视,http://www.8239999.xyz:8188/udp/239.93.18.20:1235
东方卫视,http://www.8239999.xyz:8188/udp/239.93.18.123:5140
北京卫视,http://www.8239999.xyz:8188/udp/239.93.18.180:5140
深圳卫视,http://www.8239999.xyz:8188/udp/239.93.18.182:5140
广东卫视,http://www.8239999.xyz:8188/udp/239.93.18.181:5140
天津卫视,http://www.8239999.xyz:8188/udp/239.93.18.167:5140
山东卫视,http://www.8239999.xyz:8188/udp/239.93.18.168:5140
四川乡村,http://www.8239999.xyz:8188/udp/239.93.18.52:5140
康巴卫视,http://www.8239999.xyz:8188/udp/239.93.18.41:5140
江西卫视,http://www.8239999.xyz:8188/udp/239.93.18.134:5140
东南卫视,http://www.8239999.xyz:8188/udp/239.93.18.42:5140
黑龙江卫视,http://www.8239999.xyz:8188/udp/239.93.18.183:5140
重庆卫视,http://www.8239999.xyz:8188/udp/239.93.19.107:5140
贵州卫视,http://www.8239999.xyz:8188/udp/239.93.18.131:5140
湖北卫视,http://www.8239999.xyz:8188/udp/239.93.18.250:5140
安徽卫视,http://www.8239999.xyz:8188/udp/239.93.19.106:5140
